programmeAcronym,schoolYearID
CSD,550e8400-e29b-41d4-a716-446655440000
IEE,550e8400-e29b-41d4-a716-446655440001
DSD,550e8400-e29b-41d4-a716-446655440002
DIS,550e8400-e29b-41d4-a716-446655440003
AIR,550e8400-e29b-41d4-a716-446655440004
CYB,550e8400-e29b-41d4-a716-446655440005
SWE,550e8400-e29b-41d4-a716-446655440006
DTA,550e8400-e29b-41d4-a716-446655440007
MLC,550e8400-e29b-41d4-a716-446655440008
WEB,550e8400-e29b-41d4-a716-446655440009
MOB,550e8400-e29b-41d4-a716-44665544000a
GAM,550e8400-e29b-41d4-a716-44665544000b
NET,550e8400-e29b-41d4-a716-44665544000c
IOT,550e8400-e29b-41d4-a716-44665544000d
VRX,550e8400-e29b-41d4-a716-44665544000e
ITM,550e8400-e29b-41d4-a716-44665544000f
BIO,550e8400-e29b-41d4-a716-446655440010
MTH,550e8400-e29b-41d4-a716-446655440011
CLD,550e8400-e29b-41d4-a716-446655440012
EMS,550e8400-e29b-41d4-a716-446655440013
CGR,550e8400-e29b-41d4-a716-446655440014
DVZ,550e8400-e29b-41d4-a716-446655440015
TST,550e8400-e29b-41d4-a716-446655440016
AIE,550e8400-e29b-41d4-a716-446655440017
BKS,550e8400-e29b-41d4-a716-446655440018
BGD,550e8400-e29b-41d4-a716-446655440019
DOP,550e8400-e29b-41d4-a716-44665544001a
BLK,550e8400-e29b-41d4-a716-44665544001b
QNC,550e8400-e29b-41d4-a716-44665544001c
OPS,550e8400-e29b-41d4-a716-44665544001d
CSD,550e8400-e29b-41d4-a716-446655440001
CSD,550e8400-e29b-41d4-a716-446655440002
CSD,550e8400-e29b-41d4-a716-446655440003
CSD,550e8400-e29b-41d4-a716-446655440004
CSD,550e8400-e29b-41d4-a716-446655440005
CSD,550e8400-e29b-41d4-a716-446655440006
CSD,550e8400-e29b-41d4-a716-446655440007
CSD,550e8400-e29b-41d4-a716-446655440008
CSD,550e8400-e29b-41d4-a716-446655440009
CSD,550e8400-e29b-41d4-a716-446655440010
CSD,550e8400-e29b-41d4-a716-446655440011
CSD,550e8400-e29b-41d4-a716-446655440012
CSD,550e8400-e29b-41d4-a716-446655440013
CSD,550e8400-e29b-41d4-a716-446655440014
CSD,550e8400-e29b-41d4-a716-446655440015
CSD,550e8400-e29b-41d4-a716-446655440016
